id,code,spoken_language
1,en,English
2,es,Español
3,fr,Français
4,it,Italiano
5,de,Deutsch
6,tr,Türkçe
7,el,ελληνικά
8,zh,普通话
9,th,ภาษาไทย
10,is,Íslenska
11,ru,Pусский
12,sv,svenska
13,ro,Română
14,ja,日本語
15,la,Latin
16,hi,हिन्दी
17,pt,Português
18,bo,
19,fa,فارسی
20,ur,اردو
21,ar,العربية
22,sa,
23,gd,
24,cs,Český
25,cn,广州话 / 廣州話
26,ko,한국어/조선말
27,no,Norsk
28,ta,தமிழ்
29,nv,
30,he,עִבְרִית
31,da,Dansk
32,nl,Nederlands
33,af,Afrikaans
34,ga,Gaeilge
35,so,Somali
36,fi,suomi
37,sw,Kiswahili
38,bg,български език
39,yi,
40,vi,Tiếng Việt
41,hu,Magyar
42,uk,Український
43,eo,Esperanto
44,am,
45,km,
46,ce,
47,pl,Polski
48,co,
49,pa,ਪੰਜਾਬੀ
50,et,Eesti
51,sq,shqip
52,sr,Srpski
53,bs,Bosanski
54,hr,Hrvatski
55,tl,
56,sh,
57,sk,Slovenčina
58,kk,қазақ
59,ml,
60,te,తెలుగు
61,cy,Cymraeg
62,hy,
63,iu,
64,wo,Wolof
65,xh,
66,ny,
67,st,
68,zu,isiZulu
69,kw,
70,si,
71,ne,
72,ps,پښتو
73,mn,
74,xx,No Language
75,gl,Galego
76,ka,ქართული
77,bn,বাংলা
78,ku,
79,mi,
80,to,
81,ca,Català
82,br,
83,dz,
84,ky,??????
85,id,Bahasa indonesia
86,bm,Bamanankan
87,sl,Slovenščina
